#Serial	Status
638	WP_205352412.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003349525.1
639	WP_218560844.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019201485.1
640	WP_072712623.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001895265.1
641	WP_182368145.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014062235.1
642	WP_103894683.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900119445.1
643	WP_213911331.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018457965.1
644	WP_258626784.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024748015.1
645	WP_193281716.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022603315.1
646	WP_258284090.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024732225.1
647	WP_165858548.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_165858548.1 in Assembly ID GCA_013704765.1
648	WP_162904211.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_162904211.1 in Assembly ID GCA_012271385.1
649	WP_263964730.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025792135.1
650	WP_072601336.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004214765.1
651	WP_170948741.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900187565.1
652	WP_108167824.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003050105.1
653	WP_253401220.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024171605.1
654	WP_243409758.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003096355.1
655	WP_162346504.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_010119545.1
656	WP_238790399.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022290955.1
657	WP_142768304.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_142768304.1 in Assembly ID GCA_006965565.1
658	WP_174492720.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902809895.1
659	WP_243104844.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027667425.1
660	WP_287492675.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017889085.1
661	WP_118409652.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028210815.1
662	WP_118541817.1 Failed :  No record for accession WP_118541817.1
663	WP_162056569.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_010078245.1
664	WP_104617618.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002939865.1
665	WP_080412666.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001534425.1
666	WP_264879058.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026012135.1
667	WP_200905042.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001402165.1
668	WP_071237996.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001858195.1
669	WP_279262684.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029719845.1
670	WP_140277222.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006373935.1
671	WP_198036652.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000733925.1
672	WP_285056138.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030180805.1
673	WP_221660844.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019734995.1
674	WP_206225527.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019137705.1
675	WP_103409025.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002906035.1
676	WP_124315227.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003851865.1
677	WP_257800627.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024700035.1
678	WP_056320111.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001425905.1
679	WP_084714025.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000714535.1
680	WP_201302641.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902506585.1
681	WP_255086513.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024339125.1
682	WP_196734384.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027594685.1
683	WP_149764841.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900156255.1
684	WP_059641579.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001524625.2
685	WP_257218612.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002749695.1
686	WP_124636095.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003852495.1
687	WP_247503807.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023073315.1
688	WP_082939760.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001665605.1
689	WP_060784800.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001543455.1
690	WP_080689325.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000585435.1
691	WP_137319504.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_946223215.1
692	WP_083956124.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001968835.1
693	WP_188543789.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014635345.1
694	WP_216657191.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013168765.1
695	WP_277191281.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029439465.1
696	WP_144717365.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007679035.1
697	WP_100464031.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002801485.1
698	WP_038631987.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000698865.1
699	WP_259194601.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024807865.1
700	WP_108096611.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003050835.1
701	WP_222202811.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_222202811.1 in Assembly ID GCA_019801015.1
702	WP_242783366.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022748595.1
703	WP_275317890.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029125965.1
704	WP_093752900.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900091865.1
705	WP_168207465.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007362775.1
706	WP_194077298.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015219785.1
707	WP_287053536.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004557095.1
708	WP_191017048.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014737315.1
709	WP_256729175.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017893945.1
710	WP_187385617.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014334325.1
711	WP_027727717.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000619925.1
712	WP_103680227.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002916695.1
713	WP_040096353.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900103065.1
714	WP_203463027.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016864315.2
715	WP_200467412.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016613675.1
716	WP_111954244.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_010499545.1
717	WP_014956500.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000307105.1
718	WP_173725865.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024460575.1
719	WP_242971427.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002161645.1
720	WP_203060574.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016786255.1
721	WP_130970192.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004308115.1
722	WP_025920000.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000632375.1
723	WP_104041922.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002929885.1
724	WP_264612888.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025961405.1
725	WP_081098977.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001568365.1
726	WP_105514463.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002974425.1
727	WP_053315478.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004121185.1
728	WP_223232586.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014654695.1
729	WP_045973930.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000967495.1
730	WP_199428739.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016461755.1
731	WP_283597789.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_949787665.1
732	WP_286716155.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002339435.1
733	WP_258256496.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024731685.1
734	WP_271470258.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028069665.1
735	WP_088619653.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002209385.1
736	WP_260979412.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001105985.1
737	WP_151798242.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008995815.1
738	WP_114836357.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003350215.1
739	WP_182811765.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018094685.1
740	WP_187513548.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014354135.1
741	WP_060183781.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001531955.1
742	WP_043036642.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000877335.1
743	WP_212743068.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005503695.1
744	WP_114226582.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003332855.1
745	WP_104512442.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002937155.1
746	WP_283021143.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029714325.1
747	WP_212208606.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018130325.1
748	WP_158003642.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000964425.1
749	WP_246728588.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012276015.1
750	WP_287297087.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004021735.1
751	WP_150705010.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902497845.1
752	WP_244986302.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009831665.3
753	WP_001033085.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000303655.2
754	WP_099428091.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_099428091.1 in Assembly ID GCA_002736045.1
755	WP_025129203.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000633395.1
756	WP_071534925.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003629865.1
757	WP_198712493.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016307315.1
758	WP_112404918.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003269215.1
759	WP_192838605.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029846355.1
760	WP_233112555.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021309895.1
761	WP_286315408.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_949426095.1
762	WP_070822341.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_963394925.1
763	WP_063158476.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900075915.1
764	WP_105655643.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002978905.1
765	WP_161451785.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009903315.1
766	WP_250907813.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013340015.1
767	WP_149208096.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006540715.2
768	WP_221556067.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_221556067.1 in Assembly ID GCA_019718855.1
769	WP_014821705.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024397495.1
770	WP_100150293.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002777635.1
771	WP_108131657.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003045775.1
772	WP_063545398.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001636055.1
773	WP_227749230.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009362785.1
774	WP_253577417.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024146925.1
775	WP_287364820.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015665165.1
776	WP_256368859.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012931925.1
777	WP_087786671.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_087786671.1 in Assembly ID GCA_002189545.2
778	WP_122267928.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003469775.1
779	WP_254949469.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024330645.1
780	WP_255972675.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024448165.1
781	WP_126192002.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003957985.1
782	WP_235471376.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021538705.1
783	WP_025632655.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000490035.1
784	WP_239969815.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022397925.1
785	WP_063323005.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001623525.1
786	WP_279774001.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029839545.1
787	WP_287946910.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022968875.1
788	WP_239845575.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022398315.1
789	WP_130598019.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004295345.1
790	WP_137225975.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005234075.1
791	WP_065108730.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001675935.1
792	WP_235086273.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021513195.1
793	WP_286996168.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003517635.1
794	WP_248937397.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023283805.1
795	WP_155684179.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009727755.1
796	WP_001901077.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_001901077.1 in Assembly ID GCA_000153965.1
797	WP_088125739.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002196185.1
798	WP_107306842.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003030845.1
799	WP_089122465.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002218005.2
800	WP_045028828.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000949955.1
801	WP_086368211.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002142615.1
802	WP_007464139.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000331515.1
803	WP_187460945.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019801945.1
804	WP_028866211.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000428725.1
805	WP_101036766.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002836415.1
806	WP_158134280.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009763125.1
807	WP_105061998.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002954615.1
808	WP_136862355.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_005116665.1
809	WP_219172610.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019335205.1
810	WP_067045712.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001574435.1
811	WP_107211827.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003025875.1
812	WP_046303308.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000973155.1
813	WP_272479229.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028437665.1
814	WP_061310512.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001573555.1
815	WP_186899847.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003463035.1
816	WP_177980917.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_177980917.1 in Assembly ID GCA_018918185.1
817	WP_288775304.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_934344075.1
818	WP_022748998.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000421025.1
819	WP_055067274.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020537425.1
820	WP_113792871.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003321125.1
821	WP_057490149.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001431045.1
822	WP_268723372.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026782235.1
823	WP_270329631.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027674325.1
824	WP_155172627.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009717805.1
825	WP_214253958.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018499145.1
826	WP_051427889.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_051427889.1 in Assembly ID GCF_001503475.1
827	WP_038428495.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015776795.1
828	WP_017474550.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000315975.1
829	WP_225434144.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009466385.1
830	WP_078177836.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018739505.1
831	WP_185953856.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902164745.1
832	WP_101974638.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002861185.1
833	WP_239740194.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022386115.1
834	WP_107391899.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021367585.1
835	WP_115210242.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900457415.1
836	WP_199192614.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003042295.1
837	WP_268217596.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026660375.1
838	WP_244149422.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001998965.1
839	WP_148842555.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008121715.1
840	WP_082283102.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900097145.1
841	WP_233128936.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002154895.1
842	WP_262443108.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025514965.1
843	WP_002256969.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900203665.1
844	WP_170123119.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016113545.1
845	WP_269448317.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021168755.1
846	WP_066023544.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009933595.1
847	WP_285712789.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030269065.1
848	WP_185170410.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014212425.1
849	WP_046059228.1 Failed :  No record for accession WP_046059228.1
850	WP_021424757.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024260445.1
851	WP_232900428.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021283945.1
852	WP_004456558.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_951336375.1
853	WP_277257040.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_945874575.1
854	WP_237949072.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022135535.1
855	WP_224169135.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019974115.1
856	WP_287891347.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022785585.1
857	WP_211326878.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003725955.1
858	WP_009010004.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028317465.1
859	WP_187620283.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017426545.1
860	WP_158362366.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025567165.1
861	WP_264174223.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020443505.1
862	WP_135402957.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004768445.1
863	WP_235920281.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009877435.1
864	WP_091963742.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900094605.1
865	WP_069675845.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001735745.1
866	WP_117692441.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027664105.1
867	WP_255207013.1 Failed :  No record for accession WP_255207013.1
868	WP_074356635.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900135565.1
869	WP_107414718.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003024215.1
870	WP_107476309.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002276245.1
871	WP_078653012.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004795155.1
872	WP_213011387.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018332695.1
873	WP_070927952.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001853965.1
874	WP_258369386.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003234445.2
875	WP_157652233.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001532275.1
876	WP_155745967.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009725235.1
877	WP_246460776.1 Failed :  No record for accession WP_246460776.1
878	WP_115643201.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900446905.1
879	WP_196174552.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015680405.1
880	WP_017361238.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000725105.2
881	WP_251577840.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023715745.1
882	WP_150373009.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008693385.1
883	WP_070245862.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001758785.1
884	WP_105851542.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902832655.1
885	WP_186055033.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902831175.1
886	WP_073768062.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001905905.1
887	WP_264930496.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026013365.1
888	WP_173704896.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013301945.1
889	WP_007863785.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027662505.1
890	WP_051658235.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002895265.1
891	WP_023796159.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000502915.1
892	WP_013865765.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000270245.1
893	WP_210464660.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017916365.1
894	WP_105715750.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002980525.1
895	WP_286769344.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001899705.1
896	WP_224484691.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020166495.1
897	WP_274278413.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028736275.2
898	WP_185652541.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014231265.1
899	WP_233981602.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_922016725.1
900	WP_271789627.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_947179015.1
901	WP_198195019.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016102145.1
902	WP_133497623.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004360035.1
903	WP_246654718.1 Failed :  No record for accession WP_246654718.1
904	WP_223568326.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030643885.1
905	WP_246622166.1 Failed :  No record for accession WP_246622166.1
906	WP_243350006.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022808675.1
907	WP_130725419.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004303985.1
908	WP_081598868.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000264455.2
909	WP_254798302.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019097845.1
910	WP_250462419.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023631485.1
911	WP_019138404.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000312025.1
912	WP_277261434.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_947090595.1
913	WP_023055227.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030812875.1
914	WP_084230214.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016791605.1
915	WP_073182695.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900129925.1
916	WP_249243137.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023347705.1
917	WP_277720669.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029537395.1
918	WP_093750321.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900106765.1
919	WP_099336526.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902386485.1
920	WP_156988371.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009753815.1
921	WP_168930829.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012843415.1
922	WP_284972215.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030251265.1
923	WP_007789795.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000147675.1
924	WP_195987800.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015667795.1
925	WP_070779944.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015669495.1
926	WP_272452176.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028437745.1
927	WP_075809420.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001949635.1
928	WP_058991911.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001485185.1
929	WP_096636218.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900205945.1
930	WP_170063677.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002995785.1
931	WP_216437589.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018918285.1
932	WP_128749648.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004103695.1
933	WP_273327679.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_913060725.1
934	WP_188114754.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008370385.1
935	WP_051931813.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000744935.1
936	WP_243151921.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018916625.1
937	WP_054739746.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001311925.1
938	WP_235070497.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_021497505.1
939	WP_068369655.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001553115.1
940	WP_068472471.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001553085.1
941	WP_002837211.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000179495.1
942	WP_046442755.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902471045.1
943	WP_167850025.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029225725.1
944	WP_108775728.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900343155.1
945	WP_006526441.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000186945.2
946	WP_078712356.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900167375.1
947	WP_102266636.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900199515.1
948	WP_115714866.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_010537155.1
949	WP_203245627.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017309095.1
950	WP_288554189.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_934271535.1
951	WP_098478782.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002564775.1
